UF,Estado,População_2025
SP,São Paulo,46081801
MG,Minas Gerais,21393441
RJ,Rio de Janeiro,17223547
BA,Bahia,14870907
PR,Paraná,11890517
RS,Rio Grande do Sul,11233263
PE,Pernambuco,9562007
CE,Ceará,9268836
PA,Pará,8711196
SC,Santa Catarina,8187029
GO,Goiás,7423629
MA,Maranhão,7018211
PB,Paraíba,4164468
AM,Amazonas,4321616
ES,Espírito Santo,4126854
MT,Mato Grosso,3893659
RN,Rio Grande do Norte,3455236
PI,Piauí,3384547
AL,Alagoas,3220848
MS,Mato Grosso do Sul,2924631
DF,Distrito Federal,2996899
SE,Sergipe,2299425
RO,Rondônia,1751950
TO,Tocantins,1586859
AC,Acre,884372
AP,Amapá,806517
RR,Roraima,738772